Title,Link,Address,Price,Num rooms,Area,Avgift,Floor,Year built,Broker,Broker Link,Booli price
Johan Enbergs väg 23,https://www.booli.se/bostad/134811,"Lägenhet, Västra Skogen",4 995 000kr,2 rum,68 m²,3 087 kr/mån,6,1969,Hampus Häggström,,≈ 5 440 000 kr
Johan Enbergs väg 11,https://www.booli.se/bostad/134936,"Lägenhet, Västra Skogen",Price missing,3 rum,78 m²,4 485 kr/mån,7,1969,Lawan Farag,,≈ 4 930 000 kr
Bygatan 3,https://www.booli.se/bostad/594107,"Lägenhet, Huvudsta",3 795 000kr,2 rum,82½ m²,4 561 kr/mån,6,,André Nasiri,,≈ 4 260 000 kr
Infanterigatan 27,https://www.booli.se/annons/4998383,"Lägenhet, Västra Skogen",3 395 000kr,3 rum,66½ m²,4 001 kr/mån,6,,Viktor Milovanovic,,≈ 3 660 000 kr
Oskarsrogatan 7,https://www.booli.se/bostad/695707,"Lägenhet, Huvudsta",2 895 000kr,2 rum,67½ m²,4 838 kr/mån,8,1987,Andreas Wahlgren,,≈ 2 860 000 kr
Diktarvägen 8,https://www.booli.se/bostad/4006882,"Lägenhet, Västra Skogen",4 995 000kr,3 rum,82½ m²,4 819 kr/mån,4,2016,Jonathan Rappel,,≈ 5 180 000 kr
Johan Enbergs väg 3,https://www.booli.se/bostad/134689,"Lägenhet, Huvudsta",4 995 000kr,3 rum,78 m²,4 058 kr/mån,9,1969,Christian Melki,,≈ 5 000 000 kr
Storgatan 72A,https://www.booli.se/bostad/750162,"Lägenhet, Huvudsta",Price missing,2 rum,62 m²,3 964 kr/mån,,,Lawan Farag,,≈ 3 490 000 kr
Bygatan 37,https://www.booli.se/bostad/594326,"Lägenhet, Huvudsta",3 995 000kr,3 rum,88 m²,4 852 kr/mån,4,1968,Jannis Nikopoulos,,≈ 4 120 000 kr
Johan Enbergs väg 3,https://www.booli.se/annons/4993155,"Lägenhet, Västra Skogen",Price missing,2 rum,67 m²,3 486 kr/mån,6,1969,Viktor Milovanovic,,≈ 4 070 000 kr
Johan Enbergs väg 7,https://www.booli.se/annons/4991177,"Lägenhet, Västra Skogen",Price missing,2 rum,67 m²,3 131 kr/mån,6,1969,Jennifer Törnkvist Metajittikorn,,≈ 4 280 000 kr
Bygatan 37,https://www.booli.se/annons/4990928,"Lägenhet, Huvudsta",3 495 000kr,3 rum,88 m²,4 852 kr/mån,2,1968,Carl Lekselius,,≈ 4 020 000 kr
Infanterigatan 9,https://www.booli.se/annons/4989663,"Lägenhet, Västra Skogen",2 795 000kr,3 rum,79 m²,4 255 kr/mån,7,1962,Patrik Barej,,
Bygatan 25,https://www.booli.se/bostad/594396,"Lägenhet, Huvudsta",4 095 000kr,2 rum,66½ m²,3 792 kr/mån,7,1968,Jonathan Rappel,,≈ 3 520 000 kr
Huvudstagatan 33,https://www.booli.se/annons/4830762,"Lägenhet, Huvudsta",4 795 000kr,3 rum,77 m²,4 681 kr/mån,5,2008,Jonathan Rappel,,≈ 5 030 000 kr
Krysshammarvägen 44,https://www.booli.se/bostad/644518,"Lägenhet, Västra Skogen",4 195 000kr,4 rum,89 m²,4 867 kr/mån,2,1966,Julian Andersson,,≈ 4 180 000 kr
Krysshammarvägen 6,https://www.booli.se/bostad/644281,"Lägenhet, Västra Skogen",Price missing,2 rum,63 m²,2 970 kr/mån,2,1965,Joe Maatouk,,≈ 3 180 000 kr
